sample_id,item_qid,preferred_label,description,direct_class_labels,class_ancestor_labels,semantic_fact_texts,annotator_final_decision,annotator_eventour_category,annotator_is_ambiguous,annotator_notes
ann_0120,Q113515458,Biblioteca dell'Organizzazione per la preparazione professionale degli insegnanti. OPPI,biblioteca specializzata a Milano,biblioteca specializzata,biblioteca,nome ufficiale: Biblioteca dell'Organizzazione per la preparazione professionale degli insegnanti - OPPI | numero di telefono: +39 0233001387 | codice postale: 20144,,,,
ann_0121,Q113535617,Biblioteca dell'Osservatorio astronomico di Brera,biblioteca di conservazione a Milano,biblioteca di conservazione | biblioteca di un ente di ricerca pubblico italiano | biblioteca di un ente pubblico italiano,biblioteca,elemento operato: prestito bibliotecario | elemento operato: document delivery intersistemico | campo di lavoro: Scienze Naturali | Wi-Fi: sì | giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: osservatorio astronomico di Brera | nome ufficiale: Biblioteca dell'Osservatorio astronomico di Brera,,,,
ann_0122,Q113535865,Biblioteca dell'Unione Italiana Vini,biblioteca di conservazione a Milano,biblioteca di conservazione | biblioteca privata,biblioteca | proprietà privata,campo di lavoro: Tecnologia e scienze applicate | Wi-Fi: sì | nome ufficiale: Biblioteca dell'Unione Italiana Vini | numero di telefono: +39 027222281 | codice postale: 20123 | visitatori annui: 10 | dimensione della collezione o esposizione: 1500 | dimensione della collezione o esposizione: 3000,,,,
ann_0123,Q113515471,Biblioteca dell'Unione femminile nazionale,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,elemento operato: prestito bibliotecario | elemento operato: document delivery intersistemico | membro di: Polo regionale Lombardia | Wi-Fi: sì | giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Unione femminile nazionale | nome ufficiale: Biblioteca dell'Unione femminile nazionale,,,,
ann_0124,Q113319491,Biblioteca della Casa di riposo per musicisti Fondazione Giuseppe Verdi,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,elemento operato: document delivery internazionale | elemento operato: document delivery nazionale | campo di lavoro: Arti | membro di: Polo regionale Lombardia | entità controllante: Casa di riposo per musicisti-Fondazione Giuseppe Verdi | nome ufficiale: Biblioteca della Casa di riposo per musicisti Fondazione Giuseppe Verdi | numero di telefono: +39 024996009 | codice postale: 20149,,,,
ann_0125,Q113610829,Biblioteca della Corte di appello di Milano,biblioteca a Milano,biblioteca di un ente pubblico italiano | biblioteca specializzata,biblioteca,elemento operato: document delivery internazionale | elemento operato: document delivery nazionale | membro di: Polo giuridico - Roma | Wi-Fi: gratuità | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Biblioteca della Corte di appello di Milano | numero di telefono: +39 0254333673,,,,
ann_0126,Q113092731,Biblioteca della Facoltà teologica dell'Italia settentrionale,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,struttura presente: sala conferenze | struttura presente: sala lettura | elemento operato: prestito interbibliotecario | elemento operato: prestito interbibliotecario intersistemico | campo di lavoro: storia del cristianesimo | campo di lavoro: patristica | accessibilità alle persone con disabilità: accessibile alle persone con disabilità motorie | Wi-Fi: sì,,,,
ann_0127,Q113515482,Biblioteca della Fondazione Anna Kuliscioff,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,elemento operato: document delivery internazionale | elemento operato: document delivery nazionale | campo di lavoro: Scienze Sociali | membro di: Polo regionale Lombardia | Wi-Fi: sì | giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Biblioteca della Fondazione Anna Kuliscioff ETS,,,,
ann_0128,Q113319499,Biblioteca della Fondazione Elvira Badaracco,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,campo di lavoro: Scienze Sociali | membro di: Polo regionale Lombardia | Wi-Fi: sì | giorni di apertura: lunedì | giorni di apertura: mercoledì | nome ufficiale: Biblioteca della Fondazione Elvira Badaracco | numero di telefono: +39 0229005987 | codice postale: 20159,,,,
ann_0129,Q113319489,Biblioteca della Fondazione Eni Enrico Mattei,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,elemento operato: prestito interbibliotecario nazionale | elemento operato: prestito bibliotecario | campo di lavoro: Scienze Sociali | membro di: Polo Lombardia 2 | giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Fondazione Eni Enrico Mattei | nome ufficiale: Biblioteca della Fondazione Eni Enrico Mattei,,,,
ann_0130,Q113515473,Biblioteca della Fondazione Felicita ed Enrico Bignaschi e figli,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,elemento operato: prestito bibliotecario | campo di lavoro: Scienze Sociali | giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Biblioteca della Fondazione Felicita ed Enrico Bignaschi e figli | numero di telefono: +39 028057718 | codice postale: 20129 | visitatori annui: 20,,,,
ann_0131,Q113610841,Biblioteca della Fondazione Floriani,biblioteca a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,membro di: Polo Lombardia 2 | numero di telefono: +39 026261111 | codice postale: 20154 | dimensione della collezione o esposizione: 8257,,,,
ann_0132,Q113535859,Biblioteca della Fondazione Mansutti,biblioteca di conservazione a Milano,biblioteca di conservazione | biblioteca privata,biblioteca | proprietà privata,elemento operato: prestito interbibliotecario nazionale | elemento operato: prestito interbibliotecario intersistemico | campo di lavoro: Letteratura e Retorica | campo di lavoro: Scienze Sociali | membro di: Polo regionale Lombardia | Wi-Fi: sì | giorni di apertura: lunedì | giorni di apertura: venerdì,,,,
ann_0133,Q113092729,Biblioteca della Fondazione culturale S. Fedele,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,elemento operato: prestito interbibliotecario nazionale | elemento operato: prestito interbibliotecario intersistemico | membro di: Polo regionale Lombardia | Wi-Fi: sì | giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Biblioteca della Fondazione culturale S. Fedele | numero di telefono: +39 0286352421,,,,
ann_0134,Q113515477,Biblioteca della Nuova accademia di belle arti. NABA,biblioteca specializzata a Milano,biblioteca specializzata,biblioteca,giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Nuova Accademia di Belle Arti - Milano | nome ufficiale: Biblioteca della Nuova accademia di belle arti - NABA | numero di telefono: +39 02973721 | codice postale: 20159 | dimensione della collezione o esposizione: 3000,,,,
ann_0135,Q113091635,Biblioteca della Parrocchia di S. Babila,biblioteca specializzata a Milano,biblioteca specializzata,biblioteca,giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: arcidiocesi di Milano | nome ufficiale: Biblioteca della Parrocchia di S. Babila | numero di telefono: +39 0276002877 | codice postale: 20122,,,,
ann_0136,Q113092738,Biblioteca della Scuola Beato Angelico,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,struttura presente: sala lettura | campo di lavoro: Arti | membro di: Polo SBN di Biblioteche Ecclesiastiche italiane | accessibilità alle persone con disabilità: inaccessibile alle persone con disabilità motorie | Wi-Fi: sì | giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Biblioteca della Scuola Beato Angelico,,,,
ann_0137,Q113515459,Biblioteca della Scuola musicale di Milano,biblioteca specializzata a Milano,biblioteca specializzata,biblioteca,giorni di apertura: sabato | giorni di apertura: lunedì | entità controllante: Scuola Musicale di Milano | nome ufficiale: Biblioteca della Scuola musicale di Milano | numero di telefono: +39 0286461785 | codice postale: 20121,,,,
ann_0138,Q125745415,Biblioteca della Sezione di Scienze economiche e diritto tributario dell'Università degli studi di Milano,biblioteca italiana di Milano,biblioteca,installazione culturale | istituzione pubblica | luogo,dimensione della collezione o esposizione: 1405 | nome ufficiale: Biblioteca della Sezione di Scienze economiche e diritto tributario dell'Università degli studi di Milano,,,,
ann_0139,Q113515472,Biblioteca della Società numismatica italiana,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,campo di lavoro: Geografia e Storia | campo di lavoro: Arti | Wi-Fi: no | giorni di apertura: sabato | entità controllante: Società numismatica italiana | nome ufficiale: Biblioteca della Società numismatica italiana | numero di telefono: +39 0294391024 | codice postale: 20122,,,,
ann_0140,Q113319472,Biblioteca della Società prodotti antibiotici,biblioteca specializzata a Milano,biblioteca specializzata,biblioteca,nome ufficiale: Biblioteca della Società prodotti antibiotici | numero di telefono: +39 02891391 | codice postale: 20143 | dimensione della collezione o esposizione: 3500,,,,
ann_0141,Q113525909,"Biblioteca della Soprintendenza Archeologia belle arti e paesaggio per le province di Como, Lecco, Monza e Brianza, Pavia, Sondrio e Varese",biblioteca specializzata a Milano,biblioteca del Ministero della Cultura italiano | biblioteca specializzata,biblioteca,campo di lavoro: Geografia e Storia | membro di: Polo MiC Lombardia - BEIC | Wi-Fi: gratuità | Wi-Fi: sì | giorni di apertura: lunedì | giorni di apertura: venerdì | proprietario: Ministero della Cultura | numero di telefono: +39 0289400555,,,,
ann_0142,Q113610828,"Biblioteca della Soprintendenza Archeologia, belle arti e paesaggio per la città metropolitana di Milano. Architettura",biblioteca a Milano,biblioteca del Ministero della Cultura italiano | biblioteca specializzata,biblioteca,elemento operato: prestito bibliotecario | campo di lavoro: Arti | membro di: Polo MiC Lombardia - BEIC | accessibilità alle persone con disabilità: accessibile alle persone con disabilità motorie | Wi-Fi: sì | giorni di apertura: martedì | giorni di apertura: giovedì | proprietario: Ministero della Cultura,,,,
ann_0143,Q113378311,Biblioteca della Soprintendenza Archivistica e bibliografica della Lombardia,biblioteca specializzata a Milano,biblioteca specializzata,biblioteca,membro di: Polo MiC Lombardia - BEIC | giorni di apertura: sabato | giorni di apertura: lunedì | entità controllante: Ministero della Cultura | nome ufficiale: Biblioteca della Soprintendenza Archivistica e bibliografica della Lombardia | numero di telefono: +39 0286984548 | codice postale: 20121 | dimensione della collezione o esposizione: 1,,,,
ann_0144,Q113515469,Biblioteca della Triennale Milano,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,elemento operato: document delivery intersistemico | elemento operato: document delivery internazionale | membro di: ACNP | membro di: Polo regionale Lombardia | Wi-Fi: sì | giorni di apertura: venerdì | giorni di apertura: mercoledì | nome ufficiale: Biblioteca - Triennale Milano,,,,
ann_0145,Q113515440,Biblioteca della montagna Luigi Gabba,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,campo di lavoro: Geografia e Storia | campo di lavoro: Arti | membro di: Polo regionale Lombardia | Wi-Fi: sì | giorni di apertura: martedì | giorni di apertura: giovedì | entità controllante: Club alpino italiano | nome ufficiale: Biblioteca della montagna Luigi Gabba,,,,
ann_0146,Q113091634,Biblioteca della parrocchia Ss. Martiri Nazaro e Celso,biblioteca pubblica a Milano,biblioteca pubblica,biblioteca | servizio,giorni di apertura: sabato | giorni di apertura: venerdì | entità controllante: arcidiocesi di Milano | nome ufficiale: Biblioteca della parrocchia Ss. Martiri Nazaro e Celso | numero di telefono: +39 023554418 | codice postale: 20157 | dimensione della collezione o esposizione: 5000,,,,
ann_0147,Q113086135,Biblioteca delle Raccolte Artistiche del Castello Sforzesco,biblioteca specializzata a Milano,biblioteca di un ente territoriale italiano | biblioteca specializzata,biblioteca,elemento operato: document delivery intersistemico | elemento operato: document delivery nazionale | campo di lavoro: Arti | membro di: Polo regionale Lombardia | nome ufficiale: Biblioteca delle Raccolte Artistiche del Castello Sforzesco | numero di telefono: +39 0288463654 | codice postale: 20121 | visitatori annui: 30,,,,
ann_0148,Q113319464,"Biblioteca di Design, Comunicazione e Arti Visive. IED - Istituto Europeo di Design",biblioteca specializzata a Milano,biblioteca specializzata,biblioteca,"giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Istituto Europeo di Design | nome ufficiale: Biblioteca di Design, Comunicazione e Arti Visive. IED - Istituto Europeo di Design | numero di telefono: +39 02 5796951 | codice postale: 20135 | dimensione della collezione o esposizione: 6500",,,,
ann_0149,Q113319495,Biblioteca di Morando della Fondazione Cineteca Italiana,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,elemento operato: document delivery intersistemico | elemento operato: document delivery internazionale | campo di lavoro: Arti | membro di: Polo regionale Lombardia | entità controllante: Cineteca Italiana | nome ufficiale: Biblioteca di Morando della Fondazione Cineteca Italiana | numero di telefono: +390266986901 | numero di telefono: +39 0266986901,,,,
ann_0150,Q113515460,Biblioteca di Politeia Centro per la ricerca e la formazione in politica e etica,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,elemento operato: document delivery intersistemico | elemento operato: document delivery nazionale | campo di lavoro: Filosofia e Psicologia | membro di: Polo regionale Lombardia | giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Biblioteca di Politeia Centro per la ricerca e la formazione in politica e etica | numero di telefono: +39 0250313016,,,,
ann_0151,Q113298763,Biblioteca di Scienze dell'antichità e filologia moderna. Università degli studi di Milano,biblioteca dell'Università degli studi di Milano,biblioteca universitaria,biblioteca accademica,giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Università degli Studi di Milano | nome ufficiale: Biblioteca di Scienze dell'antichità e filologia moderna dell'Università degli studi di Milano | numero di telefono: +39 0250312763 | codice postale: 20122 | dimensione della collezione o esposizione: 100000,,,,
ann_0152,Q113298751,Biblioteca di Scienze della storia e della documentazione storica. Università degli studi di Milano,biblioteca dell'Università degli studi di Milano,biblioteca universitaria,biblioteca accademica,membro di: Polo Università statale di Milano | giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Università degli Studi di Milano | numero di telefono: +39 0250312973 | codice postale: 20122 | dimensione della collezione o esposizione: 128699 | nome ufficiale: Biblioteca di Scienze della storia e della documentazione storica dell'Università degli studi di Milano,,,,
ann_0153,Q113468899,Biblioteca di ateneo Carlo Bo. Libera università di lingue e comunicazione. IULM,biblioteca della Libera università di lingue e comunicazione,biblioteca universitaria,biblioteca accademica,membro di: ACNP | giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Libera Università di Lingue e Comunicazione IULM | nome ufficiale: Biblioteca di ateneo Carlo Bo. Libera università di lingue e comunicazione - IULM | numero di telefono: +39 02891412216 | codice postale: 20143 | dimensione della collezione o esposizione: 240000,,,,
ann_0154,Q113298765,Biblioteca di scienze dell'antichità e filologia moderna. Sezione di egittologia. Università degli studi di Milano,biblioteca dell'Università degli studi di Milano,biblioteca universitaria,biblioteca accademica,giorni di apertura: mercoledì | giorni di apertura: martedì | entità controllante: Università degli Studi di Milano | numero di telefono: +39 0250312215 | codice postale: 20122 | nome ufficiale: Biblioteca di scienze dell'antichità e filologia moderna. Sezione di egittologia dell'Università degli studi di Milano,,,,
ann_0155,Q113298764,Biblioteca di scienze dell'antichità e filologia moderna. Sezione di papirologia. Università degli studi di Milano,biblioteca dell'Università degli studi di Milano,biblioteca universitaria,biblioteca accademica,giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Università degli Studi di Milano | numero di telefono: +39 0250312903 | codice postale: 20122 | dimensione della collezione o esposizione: 100000 | nome ufficiale: Biblioteca di scienze dell'antichità e filologia moderna. Sezione di papirologia dell'Università degli studi di Milano,,,,
ann_0156,Q113298713,Biblioteca di scienze politiche Enrica Collotti Pischel. Università degli studi di Milano,biblioteca dell'Università degli studi di Milano,biblioteca universitaria,biblioteca accademica,membro di: Polo Università statale di Milano | giorni di apertura: sabato | giorni di apertura: lunedì | entità controllante: Università degli Studi di Milano | nome ufficiale: Biblioteca di scienze politiche Enrica Collotti Pischel dell'Università degli studi di Milano | numero di telefono: +39 0250321126 | codice postale: 20122 | dimensione della collezione o esposizione: 79249,,,,
ann_0157,Q113091633,Biblioteca e Archivio della Parrocchia prepositurale S. Francesco di Paola,biblioteca specializzata a Milano,biblioteca specializzata,biblioteca,giorni di apertura: sabato | giorni di apertura: lunedì | entità controllante: arcidiocesi di Milano | nome ufficiale: Biblioteca e Archivio della Parrocchia prepositurale S. Francesco di Paola | numero di telefono: +39 0276002634 | codice postale: 20121,,,,
ann_0158,Q113092719,Biblioteca francescano-cappuccina provinciale,biblioteca di conservazione a Milano,biblioteca di conservazione | biblioteca privata,biblioteca | proprietà privata,campo di lavoro: Religione | Wi-Fi: no | nome ufficiale: Biblioteca francescano-cappuccina provinciale | numero di telefono: +390277122588 | numero di telefono: +39 0277122588 | codice postale: 20129 | visitatori annui: 60 | dimensione della collezione o esposizione: 57000,,,,
ann_0159,Q28739821,Biblioteca freshpages MHMK di Milano,library,biblioteca,installazione culturale | istituzione pubblica | luogo,membro di: South-West German Library Network | parte di: MHMK Bibliothek | nome in breve: Mailand MHMK Bibliothek | nome originale locale: freshpages MHMK Bibliothek Mailand | numero di telefono: +39 0245388510,,,,
ann_0160,Q113610838,Biblioteca giuridica della Giunta regionale della Lombardia,biblioteca a Milano,biblioteca specializzata,biblioteca,membro di: ACNP | membro di: Polo regionale Lombardia | giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Biblioteca giuridica della Giunta regionale della Lombardia | numero di telefono: +39 0267655369 | codice postale: 20124 | dimensione della collezione o esposizione: 1940,,,,
ann_0161,Q113610839,Biblioteca privata Massimo Gentili-Tedeschi,biblioteca di conservazione a Milano,biblioteca di conservazione,biblioteca,membro di: Polo Istituto Centrale per i Beni Sonori ed Audiovisivi | nome ufficiale: Biblioteca privata Massimo Gentili-Tedeschi | numero di telefono: +39 0229406732 | codice postale: 20129 | dimensione della collezione o esposizione: 868 | dimensione della collezione o esposizione: 400,,,,
ann_0162,Q111698005,Biblioteca provinciale dei Carmelitani scalzi,Biblioteca ecclesiastica dell'Ordine dei Carmelitani Scalzi di Milano,biblioteca di conservazione | biblioteca privata,biblioteca | proprietà privata,struttura presente: sala lettura | elemento operato: prestito bibliotecario | campo di lavoro: teologia cristiana | campo di lavoro: Religione | membro di: Polo regionale Lombardia | accessibilità alle persone con disabilità: accessibile alle persone con disabilità motorie | Wi-Fi: sì | giorni di apertura: lunedì,,,,
ann_0163,Q113319450,Biblioteca tecnico scientifica Pirelli,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,campo di lavoro: Tecnologia e scienze applicate | Wi-Fi: sì | giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Pirelli | nome ufficiale: Biblioteca tecnico scientifica Pirelli | numero di telefono: +39 0264423971 | codice postale: 20126,,,,
ann_0164,Q60838261,Bicocca 307,edificio di Milano,edificio per uffici,edificio,architetto: Stefano Boeri | data di apertura ufficiale: 2005-01-01,,,,
ann_0165,Q24702775,Birrificio Lambrate,birrificio di Milano,birrificio,azienda alimentare | fabbrica,settore di attività: brewing industry | prende il nome da: Lambrate | data di fondazione o creazione: 1996-01-01 | follower su un social media: 3466,,,,
ann_0166,Q18222859,Borgo Pirelli,villaggio operaio di Milano,complesso residenziale,area residenziale | complesso edilizio | development,fuso orario: Fuso orario dell'europa centrale,,,,
ann_0167,Q81172524,Brandolini R. Metalli srl,archivio italiano,archivio,collezione | GLAM | organizzazione,codice postale: 20135,,,,
ann_0168,Q111413059,Bulgari Hotel Milano,"hotel in Milan, Italy",albergo,alloggiamento | impresa | struttura architettonica,stelle: hotel a cinque stelle,,,,
ann_0169,Q81172531,C. De Giovanni sas,archivio italiano,archivio,collezione | GLAM | organizzazione,unità amministrativa in cui è situato: Milano,,,,
ann_0170,Q81172555,Camera di commercio,archivio italiano,archivio,collezione | GLAM | organizzazione,unità amministrativa in cui è situato: Milano,,,,
ann_0171,Q26258023,Casa Bellotti,"building in Milan, Italy",palazzo,casa | edificio | struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0172,Q28669494,Casa Berri-Meregalli,edificio di Milano in via Barozzi 7,palazzo,casa | edificio | struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0173,Q28669574,Casa Bottelli,edificio di Milano,palazzo,casa | edificio | struttura architettonica,via: piazza Castello,,,,
ann_0174,Q105266244,Casa Carboni Perego,"building in Milan, Italy",edificio,struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0175,Q28668289,Casa Celesia,"building in Milan, Italy",palazzo,casa | edificio | struttura architettonica,via: via Dante,,,,
ann_0176,Q24941543,Casa Cornaggia Medici,"building in Milan, Italy",palazzo,casa | edificio | struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0177,Q26258058,Casa Crotti,"building in Milan, Italy",palazzo,casa | edificio | struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0178,Q28669497,Casa Donzelli,edificio per appartamenti di Milano,palazzo,casa | edificio | struttura architettonica,stile architettonico: Liberty a Milano,,,,
ann_0179,Q17623939,Casa Milan,sede dell'Associazione Calcio Milan,palazzo italiano,palazzo,sport: calcio | proprietario: AC Milan | architetto: Fabio Novembre | data di apertura ufficiale: 2014-01-01,,,,
ann_0180,Q28668066,Casa Moretti,"building in Milan, Italy",palazzo,casa | edificio | struttura architettonica,via: via Dante,,,,
ann_0181,Q111082945,Casa Quaroni,edificio di Milano,edificio,struttura architettonica,evento significativo: costruzione edilizia | architetto: Antonio Cassi Ramelli,,,,
ann_0182,Q115571414,Casa Silva,,casa,edificio | edificio abitativo | rifugio | struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0183,Q67507472,Casa degli Emigranti,Istituto milanese per l'assistenza agli emigranti,edificio,struttura architettonica,fondatore: Società Umanitaria | data di fondazione o creazione: 1907-12-22,,,,
ann_0184,Q26258014,Casa dei Botta,"building in Milan, Italy",palazzo,casa | edificio | struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0185,Q26258053,Casa dei Meravigli,"building in Milan, Italy",palazzo,casa | edificio | struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0186,Q26258019,Casa dei Morigi,"building in Milan, Italy",palazzo,casa | edificio | struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0187,Q99477583,Casa dell'Unione Cooperativa,edificio di Milano,edificio,struttura architettonica,stile architettonico: eclettismo,,,,
ann_0188,Q104672470,Casa della Fontana,edificio di Milano,edificio,struttura architettonica,data di apertura ufficiale: 1936-01-01,,,,
ann_0189,Q115571777,Casa di Cicco Simonetta,,casa,edificio | edificio abitativo | rifugio | struttura architettonica,proprietario: Cicco Simonetta,,,,
ann_0190,Q134889024,Casa natale di Luciano Tajoli,"building house of Luciano Tajoli, Milano",edificio,struttura architettonica,commemora: Luciano Tajoli,,,,
ann_0191,Q127869768,Cascina Boscaiola,,cascina,casa | fattoria,unità amministrativa in cui è situato: Milano,,,,
ann_0192,Q70753849,Cascina Caldera,cascina nel comune italiano di Milano,cascina,casa | fattoria,fuso orario: UTC+2 | fuso orario: UTC+1,,,,
ann_0193,Q131905409,Cascina Molino del Paradiso,"Cascina di Milano, nella località di Muggiano",cascina,casa | fattoria,unità amministrativa in cui è situato: Milano,,,,
ann_0194,Q21208478,Cascina Torrette di Trenno,cascina di Milano,cascina,casa | fattoria,fuso orario: UTC+2 | fuso orario: UTC+1 | proprietario: Comune di Milano | numero di piani: 2,,,,
ann_0195,Q137302223,Cavalcavia Pontinia,,ponte,luogo | oggetto geografico | struttura architettonica | via di comunicazione,attraversa: stazione di Milano Rogoredo | prende il nome da: Pontinia | data di fondazione o creazione: 1930-01-01,,,,
ann_0196,Q21208489,Cenni di Cambiamento,complesso edilizio di Milano,complesso edilizio,complesso di edifici | oggetto geografico | servizio | set of physical objects,data di apertura ufficiale: 2013-01-01,,,,
ann_0197,Q113610836,Centro Bibliografico e di Documentazione della Regione Lombardia,biblioteca specializzata a Milano,biblioteca di un ente territoriale italiano | biblioteca specializzata,biblioteca,"elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | campo di lavoro: Generalità, Informatica e Informazione | membro di: ACNP | membro di: Polo regionale Lombardia | giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Centro Bibliografico e di Documentazione della Regione Lombardia",,,,
ann_0198,Q3664769,Centro Svizzero,grattacielo di Milano,grattacielo,casa a torre,architetto: Armin Meili | architetto: Giovanni Romano | numero di piani: 21,,,,
ann_0199,Q113515447,Centro di Informazione Statistica. Cis Istat,biblioteca specializzata a Milano,biblioteca di un ente di ricerca pubblico italiano | biblioteca specializzata,biblioteca,campo di lavoro: Scienze Sociali | Wi-Fi: sì | giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Istituto nazionale di statistica | nome ufficiale: Biblioteca del centro di informazione statistica - Cis Istat - Sede della Lombardia | numero di telefono: +39 0280613240 | codice postale: 20123,,,,
ann_0200,Q113515461,Centro di documentazione del Centro di forestazione urbana. Italia nostra,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,giorni di apertura: venerdì | giorni di apertura: mercoledì | entità controllante: Italia Nostra | nome ufficiale: Centro di documentazione del Centro di forestazione urbana - Italia nostra | numero di telefono: +39 024522401 | codice postale: 20153 | visitatori annui: 30 | dimensione della collezione o esposizione: 1750,,,,
ann_0201,Q113319463,Centro documentazione AGESCI,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,elemento operato: prestito bibliotecario | elemento operato: document delivery intersistemico | campo di lavoro: Scienze Sociali | giorni di apertura: sabato | giorni di apertura: venerdì | nome ufficiale: CENTRO DOCUMENTAZIONE AGESCI | numero di telefono: +39 0258314760 | codice postale: 20122,,,,
ann_0202,Q104467639,Centro studi libertari Archivio Giuseppe Pinelli,"centro studi, archivio",archivio,collezione | GLAM | organizzazione,prende il nome da: Giuseppe Pinelli | data di fondazione o creazione: 1976-01-01,,,,
ann_0203,Q117184506,"Chiesa della SS. Trinità, Archivio",archivio a Milano,archivio,collezione | GLAM | organizzazione,unità amministrativa in cui è situato: Milano,,,,
ann_0204,Q117184501,"Chiesa di S. Bartolomeo, Archivio",archivio a Milano,archivio,collezione | GLAM | organizzazione,unità amministrativa in cui è situato: Milano,,,,
ann_0205,Q117184502,"Chiesa di S. Calimero, Archivio",archivio a Milano,archivio,collezione | GLAM | organizzazione,unità amministrativa in cui è situato: Milano,,,,
ann_0206,Q117184504,"Chiesa di S. Marco, Archivio",archivio a Milano,archivio,collezione | GLAM | organizzazione,unità amministrativa in cui è situato: Milano,,,,
ann_0207,Q117184505,"Chiesa di S. Satiro, Archivio",archivio a Milano,archivio,collezione | GLAM | organizzazione,unità amministrativa in cui è situato: Milano,,,,
ann_0208,Q117184592,"Chiesa di S. Tommaso in S. Ildefonso, Archivio",archivio a Milano,archivio,collezione | GLAM | organizzazione,unità amministrativa in cui è situato: Milano,,,,
ann_0209,Q111413033,Château Monfort - Relais & Châteaux,"hotel in Milan, Italy",albergo,alloggiamento | impresa | struttura architettonica,stelle: hotel a cinque stelle,,,,
ann_0210,Q55993497,Cinema ABC,cinema di Milano,cinema | cinema a luci rosse,azienda | cinema | luogo per eventi | sito,data di chiusura ufficiale: 1983-05-14 | data di chiusura ufficiale: 2008-01-01 | nome ufficiale: Cinema Academy | nome ufficiale: Cinema ABC | data di fondazione o creazione: 1949-10-28 | data di fondazione o creazione: 1992-01-01,,,,
ann_0211,Q55992808,Cinema Abadan,cinema di Milano,cinema,azienda | luogo per eventi | sito,data di chiusura ufficiale: 1980-01-01 | data di fondazione o creazione: 1955-12-01,,,,
ann_0212,Q37158189,Cinema Ambasciatori,"ex cinema di Milano, Italia",cinema,azienda | luogo per eventi | sito,prende il nome da: ambasciatore | codice postale: 20122,,,,
ann_0213,Q37158251,Cinema Arcobaleno,"cinema di Milano, Italia",cinema,azienda | luogo per eventi | sito,prende il nome da: arcobaleno | codice postale: 20124,,,,
